Date,Tweet_id,Username,Tweet,no_of_replies,no_of_retweets,no_oflikes
2021-12-31 19:24:36+00:00,1.477E+18,wholesome_chat,The idea that EVERY relationship has to be in a FIFA World Cup final since Pe….,0,0,0
2021-12-31 19:08:07+00:00,1.47699E+18,gauravkhilari,"The year of Fifa World Cup! ❤️
Happy New Year everyone 👻🍻",0,0,2
2021-12-31 19:07:10+00:00,1.47699E+18,shankarstake,Happy T20 World Cup and FIFA World Cup year!,0,0,0
2021-12-31 19:06:14+00:00,1.47699E+18,BlaugranaNeff,"Lightyear (Pixar)
2022 FIFA World Cup 
The return of All American 
The new series: All American homecoming https://t.co/d5jOeDJtyA",1,0,0
2021-12-31 19:05:18+00:00,1.47699E+18,m_z_ahmed,"2022 is the year of FIFA World Cup...
And that's may be the first confirmed good news to make us happy... 
#HappyNewYear2022 ⚽",0,4,9
2021-12-31 18:40:52+00:00,1.47699E+18,Super_Spotter,Remember 2010 when Ghana were so close to being the 1st ever African Nation to make it to the Semi-Finals of the FIFA World Cup b4 Suarez &amp; Asamoah Gyan crashed the party…..virtually every human on the African Continent was rooting for the Black Stars….especially Nigerians &gt;,0,1,1
2021-12-31 18:37:40+00:00,1.47699E+18,ASIFCR755,"Things I want to happen as a fan in 2022:
King Kohli returning back to his best 🔥
Cristiano Ronaldo winning Fifa World Cup/Uefa CL.
Rafa Nadal winning Rolland Garros. 
India winning T20 World Cup. 
And Finally seeing @iamsrk on big screen.
#HappyNewYear2022",0,1,3
2021-12-31 18:35:54+00:00,1.47699E+18,saumiaow,ITS THE FIFA WORLD CUP YEAR ITS THE FIFA WORD CUP YEARRRRRR,1,0,4
2021-12-31 18:34:00+00:00,1.47699E+18,OluwatobiAlo,Just imagine Tottenham stoping Harry Kane going to FIFA World Cup,0,0,0
2021-12-31 18:31:49+00:00,1.47698E+18,mxmovement,"Putin tried to use the cover of Russia hosting fifa World Cup to announce raises pension age, protests were banned by this sparked massive countrywide protests and Putin’s ratings plummeted. This exposed the real nature of the state, attacking the most vulnerable: the elderly.",1,0,2
2021-12-31 18:31:09+00:00,1.47698E+18,FPL_HK17,Happy 2022 FIFA World Cup 🏆🎉,0,0,0
2021-12-31 18:16:02+00:00,1.47698E+18,Avenue_Shopping,"Happy New Year! 
Let's ring in 2022 with a bang! 

Things to look forward to: 
2022 Fifa World Cup 
Lewis Capaldi is on tour 
Glastonbury Festival is back with Diana Ross https://t.co/nMVmiT9Vn6",0,0,0
2021-12-31 18:15:04+00:00,1.47698E+18,BurnsMall,"Happy New Year! 
Let's ring in 2022 with a bang! 

Things to look forward to: 
2022 Fifa World Cup 
Lewis Capaldi is on tour 
Glastonbury Festival is back with Diana Ross https://t.co/L7X28zolY8",0,0,1
2021-12-31 18:06:21+00:00,1.47698E+18,melissampgp,"@nickherbertcbe There is a lot of work that needs addressing. this doesn't even come close. One of them should be boycotting the Fifa World Cup. If you want something that is closer to home, Trans healthcare. It is not #SafeToBeMe in the UK in 2022.",0,0,1
2021-12-31 18:05:01+00:00,1.47698E+18,sportstriviabot,"Which country is hosting the 2022 FIFA World Cup?

Answer: Qatar",0,0,0
2021-12-31 18:01:05+00:00,1.47698E+18,abbeycentre,"Happy New Year! 
Let's ring in 2022 with a bang! 

Things to look forward to: 
2022 Fifa World Cup 
Lewis Capaldi is on tour 
Glastonbury Festival is back with Diana Ross https://t.co/lCTBXc63AS",0,0,1
